,OBJECTID,Reference,Sampling_Date,Latitude,Longitude,Gear,Scientificname,Commonname,TotalNum,avg_size,min_size,max_size,ExDate
40,1550146,TBM1996011907,1996-01-18 19:00:00,28.004667,-82.6645,20,Membras martinica,Rough Silverside,4,38,32,45,2018-04-12 06:25:20
41,1550230,TBM1996022103,1996-02-20 19:00:00,27.889167,-82.545,20,Callinectes sapidus,Blue Crab,1,50,50,50,2018-04-12 06:25:20
42,1550231,TBM1996022103,1996-02-20 19:00:00,27.889167,-82.545,20,Menidia spp.,Menidia Silversides,4,66,58,70,2018-04-12 06:25:20
43,1550687,TBM1996022002,1996-02-19 19:00:00,27.991667,-82.6285,20,Microgobius gulosus,Clown Goby,2,34,30,39,2018-04-12 06:25:23
44,1550688,TBM1996022005,1996-02-19 19:00:00,28.015833,-82.6525,20,Microgobius gulosus,Clown Goby,2,35,34,36,2018-04-12 06:25:23
45,1550693,TBM1996022013,1996-02-19 19:00:00,27.914167,-82.675833,20,Leiostomus xanthurus,Spot,1,21,21,21,2018-04-12 06:25:23
46,1550694,TBM1996022016,1996-02-19 19:00:00,27.943833,-82.593,300,Aluterus schoepfii,Orange Filefish,1,329,329,329,2018-04-12 06:25:23
47,1550695,TBM1996022102,1996-02-20 19:00:00,27.88,-82.6015,300,Callinectes sapidus,Blue Crab,1,19,19,19,2018-04-12 06:25:23
48,1550696,TBM1996022105,1996-02-20 19:00:00,27.848667,-82.557667,20,Leiostomus xanthurus,Spot,1,33,33,33,2018-04-12 06:25:23
49,1550749,TBM1996032004,1996-03-19 19:00:00,27.855333,-82.5545,22,Lagodon rhomboides,Pinfish,54,22,14,35,2018-04-12 06:25:23
50,1550750,TBM1996032004,1996-03-19 19:00:00,27.855333,-82.5545,22,Sciaenops ocellatus,Red Drum,1,130,130,130,2018-04-12 06:25:23
51,1550751,TBM1996032004,1996-03-19 19:00:00,27.855333,-82.5545,22,Sphoeroides nephelus,Southern Puffer,1,27,27,27,2018-04-12 06:25:23
52,1550752,TBM1996032006,1996-03-19 19:00:00,27.9105,-82.620167,300,Dasyatis sabina,Atlantic Stingray,24,227,175,290,2018-04-12 06:25:23
53,1550753,TBM1996032006,1996-03-19 19:00:00,27.9105,-82.620167,300,Farfantepenaeus duorarum,Pink Shrimp,10,19,9,27,2018-04-12 06:25:23
54,1550760,TBM1996032101,1996-03-20 19:00:00,28.0185,-82.6815,20,Callinectes sapidus,Blue Crab,3,43,42,46,2018-04-12 06:25:23
55,1550761,TBM1996032204,1996-03-21 19:00:00,27.958167,-82.571,20,Syngnathus scovelli,Gulf Pipefish,3,58,43,67,2018-04-12 06:25:23
56,1550762,TBM1996032207,1996-03-21 19:00:00,27.926667,-82.533167,20,Lagodon rhomboides,Pinfish,80,17,13,28,2018-04-12 06:25:23
57,1550763,TBM1996032207,1996-03-21 19:00:00,27.926667,-82.533167,20,Syngnathus scovelli,Gulf Pipefish,25,81,58,114,2018-04-12 06:25:23
58,1550764,TBM1996032208,1996-03-21 19:00:00,27.896,-82.635333,20,Callinectes sapidus,Blue Crab,1,32,32,32,2018-04-12 06:25:23
59,1550765,TBM1996032210,1996-03-21 19:00:00,27.976333,-82.688167,20,Gobiosoma robustum,Code Goby,17,18,14,20,2018-04-12 06:25:23
60,1550766,TBM1996032210,1996-03-21 19:00:00,27.976333,-82.688167,20,Syngnathus scovelli,Gulf Pipefish,1,61,61,61,2018-04-12 06:25:23
61,1550786,TBM1996041702,1996-04-16 20:00:00,27.976167,-82.689,20,Callinectes sapidus,Blue Crab,1,19,19,19,2018-04-12 06:25:23
62,1550789,TBM1996041709,1996-04-16 20:00:00,27.944833,-82.544167,20,Gobiosoma bosc,Naked Goby,9,23,20,29,2018-04-12 06:25:23
63,1550793,TBM1996041809,1996-04-17 20:00:00,27.871333,-82.533167,20,Microgobius gulosus,Clown Goby,2,32,29,35,2018-04-12 06:25:23
64,1550827,TBM1996042601,1996-04-25 20:00:00,27.982667,-82.6925,160,Mugil cephalus,Striped Mullet,13,180,151,234,2018-04-12 06:25:23
65,1550828,TBM1996042601,1996-04-25 20:00:00,27.982667,-82.6925,160,Sciaenops ocellatus,Red Drum,4,133,124,144,2018-04-12 06:25:23
66,1550829,TBM1996042603,1996-04-25 20:00:00,27.909667,-82.643333,160,Strongylura notata,Redfin Needlefish,25,362,320,415,2018-04-12 06:25:23
67,1550838,TBM1996051312,1996-05-12 20:00:00,27.861,-82.592667,300,Cynoscion arenarius,Sand Seatrout,1,23,23,23,2018-04-12 06:25:23
68,1550839,TBM1996051312,1996-05-12 20:00:00,27.861,-82.592667,300,Menticirrhus saxatilis,Northern Kingfish,1,248,248,248,2018-04-12 06:25:23
69,1550842,TBM1996051407,1996-05-13 20:00:00,27.915333,-82.605167,300,Cynoscion arenarius,Sand Seatrout,5,17,11,21,2018-04-12 06:25:23
70,1550843,TBM1996051407,1996-05-13 20:00:00,27.915333,-82.605167,300,Menticirrhus saxatilis,Northern Kingfish,2,18,11,26,2018-04-12 06:25:23
71,1550844,TBM1996051407,1996-05-13 20:00:00,27.915333,-82.605167,300,Prionotus scitulus,Leopard Searobin,1,75,75,75,2018-04-12 06:25:23
72,1550847,TBM1996051412,1996-05-13 20:00:00,27.926667,-82.706667,22,Callinectes sapidus,Blue Crab,1,53,53,53,2018-04-12 06:25:23
73,1550852,TBM1996051502,1996-05-14 20:00:00,27.9105,-82.6265,160,Archosargus probatocephalus,Sheepshead,1,270,270,270,2018-04-12 06:25:23
74,1550853,TBM1996051502,1996-05-14 20:00:00,27.9105,-82.6265,160,Chilomycterus schoepfii,Striped Burrfish,2,230,206,255,2018-04-12 06:25:23
75,1550858,TBM1996051508,1996-05-14 20:00:00,28.004167,-82.655667,160,Mugil cephalus,Striped Mullet,4,250,195,350,2018-04-12 06:25:23
76,1551074,TBM1996041703,1996-04-16 20:00:00,27.986667,-82.6335,300,Farfantepenaeus duorarum,Pink Shrimp,12,21,15,35,2018-04-12 06:27:38
77,1551080,TBM1996041808,1996-04-17 20:00:00,27.87,-82.537167,20,Farfantepenaeus duorarum,Pink Shrimp,1,18,18,18,2018-04-12 06:27:38
78,1551081,TBM1996041810,1996-04-17 20:00:00,27.899167,-82.5605,300,Prionotus scitulus,Leopard Searobin,3,76,52,108,2018-04-12 06:27:38
79,1551114,TBM1996042602,1996-04-25 20:00:00,27.955667,-82.719833,160,Dasyatis say,Bluntnose Stingray,2,457,445,470,2018-04-12 06:27:38
80,1551115,TBM1996042603,1996-04-25 20:00:00,27.909667,-82.643333,160,Ariopsis felis,Hardhead Catfish,4,309,292,332,2018-04-12 06:27:38
81,1551116,TBM1996042603,1996-04-25 20:00:00,27.909667,-82.643333,160,Mugil trichodon,Fantail Mullet,1,244,244,244,2018-04-12 06:27:38
82,1551126,TBM1996051405,1996-05-13 20:00:00,27.962167,-82.597833,300,Microgobius thalassinus,Green Goby,1,29,29,29,2018-04-12 06:27:38
83,1551131,TBM1996051415,1996-05-13 20:00:00,27.936333,-82.676167,300,Cynoscion arenarius,Sand Seatrout,66,24,13,103,2018-04-12 06:27:38
84,1551132,TBM1996051415,1996-05-13 20:00:00,27.936333,-82.676167,300,Harengula jaguana,Scaled Sardine,1,80,80,80,2018-04-12 06:27:38
85,1551133,TBM1996051415,1996-05-13 20:00:00,27.936333,-82.676167,300,Trinectes maculatus,Hogchoker,1,70,70,70,2018-04-12 06:27:38
86,1551134,TBM1996051416,1996-05-13 20:00:00,27.960333,-82.698833,20,Bairdiella chrysoura,Silver Perch,1608,22,15,27,2018-04-12 06:27:38
87,1551136,TBM1996051502,1996-05-14 20:00:00,27.9105,-82.6265,160,Mugil cephalus,Striped Mullet,1,240,240,240,2018-04-12 06:27:38
88,1551139,TBM1996051505,1996-05-14 20:00:00,27.942,-82.545333,160,Rhinobatos lentiginosus,Atlantic Guitarfish,3,530,470,585,2018-04-12 06:27:38
89,1551151,TBM1996051704,1996-05-16 20:00:00,27.8275,-82.591667,160,Strongylura notata,Redfin Needlefish,35,346,175,421,2018-04-12 06:27:38
90,1551308,TBM1996032016,1996-03-19 19:00:00,27.8275,-82.593833,22,Cyprinodon variegatus,Sheepshead Minnow,99,38,24,45,2018-04-12 06:25:20
91,1551310,TBM1996032206,1996-03-21 19:00:00,27.934667,-82.548667,300,Farfantepenaeus duorarum,Pink Shrimp,12,23,15,31,2018-04-12 06:25:20
92,1551311,TBM1996032209,1996-03-21 19:00:00,27.970167,-82.640833,300,Lagodon rhomboides,Pinfish,1,71,71,71,2018-04-12 06:25:20
93,1551335,TBM1996041807,1996-04-17 20:00:00,27.863167,-82.544333,22,Lagodon rhomboides,Pinfish,1,42,42,42,2018-04-12 06:25:24
94,1551336,TBM1996041807,1996-04-17 20:00:00,27.863167,-82.544333,22,Menidia spp.,Menidia Silversides,1,21,21,21,2018-04-12 06:25:24
95,1551363,TBM1996042602,1996-04-25 20:00:00,27.955667,-82.719833,160,Sciaenops ocellatus,Red Drum,2,140,125,155,2018-04-12 06:25:24
96,1551376,TBM1996051404,1996-05-13 20:00:00,28.004333,-82.666333,20,Syngnathus floridae,Dusky Pipefish,2,54,53,55,2018-04-12 06:25:24
97,1551377,TBM1996051406,1996-05-13 20:00:00,27.961,-82.576167,20,Cynoscion nebulosus,Spotted Seatrout,1,12,12,12,2018-04-12 06:25:24
98,1551378,TBM1996051406,1996-05-13 20:00:00,27.961,-82.576167,20,Syngnathus scovelli,Gulf Pipefish,1,72,72,72,2018-04-12 06:25:24
99,1551388,TBM1996051415,1996-05-13 20:00:00,27.936333,-82.676167,300,Leiostomus xanthurus,Spot,6,91,80,104,2018-04-12 06:25:26
100,1551389,TBM1996051415,1996-05-13 20:00:00,27.936333,-82.676167,300,Microgobius thalassinus,Green Goby,3,31,29,35,2018-04-12 06:25:26
101,1551393,TBM1996051505,1996-05-14 20:00:00,27.942,-82.545333,160,Eugerres plumieri,Striped Mojarra,3,189,170,223,2018-04-12 06:25:26
102,1551394,TBM1996051505,1996-05-14 20:00:00,27.942,-82.545333,160,Mugil cephalus,Striped Mullet,7,159,130,215,2018-04-12 06:25:26
103,1551395,TBM1996051505,1996-05-14 20:00:00,27.942,-82.545333,160,Mugil trichodon,Fantail Mullet,2,174,137,212,2018-04-12 06:25:26
104,1551468,TBM1996061301,1996-06-12 20:00:00,27.874667,-82.602167,160,Eugerres plumieri,Striped Mojarra,6,218,185,238,2018-04-12 06:25:26
105,1551469,TBM1996061301,1996-06-12 20:00:00,27.874667,-82.602167,160,Leiostomus xanthurus,Spot,25,96,80,111,2018-04-12 06:25:26
106,1551470,TBM1996061301,1996-06-12 20:00:00,27.874667,-82.602167,160,Oligoplites saurus,Leatherjacket,1,210,210,210,2018-04-12 06:25:26
107,1551683,TBM1996051704,1996-05-16 20:00:00,27.8275,-82.591667,160,Archosargus probatocephalus,Sheepshead,5,236,222,272,2018-04-12 06:25:23
108,1555029,TBM1996011812,1996-01-17 19:00:00,27.956833,-82.705667,20,Gobiosoma robustum,Code Goby,10,21,17,24,2018-04-12 06:25:19
109,1555030,TBM1996011817,1996-01-17 19:00:00,27.993,-82.625,22,Anchoa mitchilli,Bay Anchovy,2,25,25,25,2018-04-12 06:25:19
110,1555036,TBM1996011907,1996-01-18 19:00:00,28.004667,-82.6645,20,Anchoa mitchilli,Bay Anchovy,315,31,22,51,2018-04-12 06:25:19
111,1555037,TBM1996011907,1996-01-18 19:00:00,28.004667,-82.6645,20,Microgobius gulosus,Clown Goby,1,21,21,21,2018-04-12 06:25:19
112,1555103,TBM1996022010,1996-02-19 19:00:00,27.945833,-82.724167,22,Lagodon rhomboides,Pinfish,50,17,12,21,2018-04-12 06:25:29
113,1555104,TBM1996022010,1996-02-19 19:00:00,27.945833,-82.724167,22,Lucania parva,Rainwater Killifish,1,22,22,22,2018-04-12 06:25:29
114,1555105,TBM1996022014,1996-02-19 19:00:00,27.945333,-82.641333,300,Chilomycterus schoepfii,Striped Burrfish,2,252,222,282,2018-04-12 06:25:29
115,1555106,TBM1996022103,1996-02-20 19:00:00,27.889167,-82.545,20,Symphurus plagiusa,Blackcheek Tonguefish,2,32,25,40,2018-04-12 06:25:29
116,1555171,TBM1996011814,1996-01-17 19:00:00,27.978167,-82.660333,300,Anchoa mitchilli,Bay Anchovy,154,37,27,52,2018-04-12 06:25:18
117,1555172,TBM1996011814,1996-01-17 19:00:00,27.978167,-82.660333,300,Bairdiella chrysoura,Silver Perch,1,87,87,87,2018-04-12 06:25:18
118,1555175,TBM1996011904,1996-01-18 19:00:00,27.9925,-82.684167,20,Microgobius gulosus,Clown Goby,1,30,30,30,2018-04-12 06:25:18
119,1555176,TBM1996011905,1996-01-18 19:00:00,27.991667,-82.684167,20,Cynoscion nebulosus,Spotted Seatrout,4,411,380,480,2018-04-12 06:25:18
120,1555178,TBM1996011907,1996-01-18 19:00:00,28.004667,-82.6645,20,Menticirrhus americanus,Southern Kingfish,1,85,85,85,2018-04-12 06:25:18
121,1555179,TBM1996011907,1996-01-18 19:00:00,28.004667,-82.6645,20,Syngnathus scovelli,Gulf Pipefish,3,81,78,84,2018-04-12 06:25:18
